asof_date,ticker,signal_name,value,confidence,posts_analyzed,calculation_method,search_terms
2023-11-09,EA,SENTIMENT_RDDT,0.45642525764207087,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2023-11-09,TTWO,SENTIMENT_RDDT,0.49340846831877105,0.36,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2023-11-09,NTES,SENTIMENT_RDDT,0.5690967038114203,0.04,0,fallback_no_data,"ntes, netease"
2023-11-09,RBLX,SENTIMENT_RDDT,0.49145488219034617,0.34,0,fallback_no_data,"rblx, roblox"
2023-11-09,MSFT,SENTIMENT_RDDT,-0.04318716819872523,0.2,0,fallback_no_data,"msft, microsoft"
2023-11-09,SONY,SENTIMENT_RDDT,0.6978947464845409,0.3,0,fallback_no_data,"sony, sony"
2023-11-09,WBD,SENTIMENT_RDDT,0.37760374388486656,0.3,0,fallback_no_data,"wbd, warner bros"
2023-11-09,NCBDY,SENTIMENT_RDDT,0.16284255142899098,0.26,0,fallback_no_data,"ncbdy, cd projekt"
2023-11-09,GDEV,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"gdev, gaijin"
2023-11-09,OTGLF,SENTIMENT_RDDT,-0.6081516970327782,0.06,0,fallback_no_data,"otglf, outlook games"
2023-11-09,SNAL,SENTIMENT_RDDT,0.5025471736466597,0.06,0,fallback_no_data,"snal, snail games"
2023-11-09,GRVY,SENTIMENT_RDDT,0.6745615233011194,0.36,0,fallback_no_data,"grvy, gravity games"
2023-11-09,SQNXF,SENTIMENT_RDDT,0.4410874167482555,0.14,0,fallback_no_data,"sqnxf, square enix, squareenix"
2023-11-09,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2023-11-09,KNMCY,SENTIMENT_RDDT,0.7325915704949403,0.42,0,fallback_no_data,"knmcy, konami, konami group"
2023-11-09,NEXOY,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"nexoy, nexon, nexon co"
2023-11-10,EA,SENTIMENT_RDDT,0.4533446793703745,0.88,0,fallback_no_data,"ea, electronic arts, ea games"
2023-11-10,TTWO,SENTIMENT_RDDT,0.49878466534133187,0.38,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2023-11-10,NTES,SENTIMENT_RDDT,0.569096703029406,0.04,0,fallback_no_data,"ntes, netease"
2023-11-10,RBLX,SENTIMENT_RDDT,0.49013786653631225,0.32,0,fallback_no_data,"rblx, roblox"
2023-11-10,MSFT,SENTIMENT_RDDT,-0.04318717030593694,0.2,0,fallback_no_data,"msft, microsoft"
2023-11-10,SONY,SENTIMENT_RDDT,0.6978947467678401,0.3,0,fallback_no_data,"sony, sony"
2023-11-10,WBD,SENTIMENT_RDDT,0.3776037444577944,0.3,0,fallback_no_data,"wbd, warner bros"
2023-11-10,NCBDY,SENTIMENT_RDDT,0.15488490210447267,0.24,0,fallback_no_data,"ncbdy, cd projekt"
2023-11-10,GDEV,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"gdev, gaijin"
2023-11-10,OTGLF,SENTIMENT_RDDT,-0.6081516969950695,0.06,0,fallback_no_data,"otglf, outlook games"
2023-11-10,SNAL,SENTIMENT_RDDT,0.5025471736198434,0.06,0,fallback_no_data,"snal, snail games"
2023-11-10,GRVY,SENTIMENT_RDDT,0.6815315469503237,0.38,0,fallback_no_data,"grvy, gravity games"
2023-11-10,SQNXF,SENTIMENT_RDDT,0.501716657565159,0.2,0,fallback_no_data,"sqnxf, square enix, squareenix"
2023-11-10,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2023-11-10,KNMCY,SENTIMENT_RDDT,0.7325915708364138,0.42,0,fallback_no_data,"knmcy, konami, konami group"
2023-11-10,NEXOY,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"nexoy, nexon, nexon co"
2023-11-11,EA,SENTIMENT_RDDT,0.45334467830615605,0.88,0,fallback_no_data,"ea, electronic arts, ea games"
2023-11-11,TTWO,SENTIMENT_RDDT,0.4871325479214952,0.36,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2023-11-11,NTES,SENTIMENT_RDDT,0.569096702195886,0.04,0,fallback_no_data,"ntes, netease"
2023-11-11,RBLX,SENTIMENT_RDDT,0.4901378652452886,0.32,0,fallback_no_data,"rblx, roblox"
2023-11-11,MSFT,SENTIMENT_RDDT,-0.037779192701525285,0.22,0,fallback_no_data,"msft, microsoft"
2023-11-11,SONY,SENTIMENT_RDDT,0.7372957689193238,0.3,0,fallback_no_data,"sony, sony"
2023-11-11,WBD,SENTIMENT_RDDT,0.3956814941681308,0.34,0,fallback_no_data,"wbd, warner bros"
2023-11-11,NCBDY,SENTIMENT_RDDT,0.15488490333881008,0.24,0,fallback_no_data,"ncbdy, cd projekt"
2023-11-11,GDEV,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"gdev, gaijin"
